rest_name,locality,cuisines,cost_for_two,rating
The Flying Trapeze                                     ,Koramangala 5th Block,"['Continental', 'North Indian', 'Chinese', 'Modern Indian', 'Asian']","1,500",                                         NEW                                     
The Creek - The Den Bengaluru                                     ,"The Den, Whitefield","['North Indian', 'Continental', 'Chinese']","2,000",4.4
Purani Dilli By Anand Sweets                                     ,Sarjapur Road,"['North Indian', 'Fast Food']",500,4.2
Savoury Restaurant                                     ,Frazer Town,"['Arabian', 'North Indian', 'Chinese', 'Beverages']",800,4.1
The Beer Cafe                                     ,Koramangala 4th Block,"['Finger Food', 'Chinese', 'Italian', 'Burger']","1,300",4.2
Taiki                                     ,Indiranagar,"['Asian', 'Japanese', 'Korean', 'Thai', 'Sushi']","1,200",4.4
Lazy Suzy                                     ,Indiranagar,"['Cafe', 'Continental', 'Beverages', 'Burger', 'Desserts', 'Pizza', 'Bakery', 'European']","1,000",4.3
The Old Fashioned Bar                                     ,Koramangala 6th Block,"['Finger Food', 'North Indian', 'Continental']","1,000",4.5
Blk Plus Wht                                     ,HSR,"['Asian', 'Thai', 'North Indian']",800,4.3
Green Theory                                     ,Residency Road,"['Italian', 'Salad', 'Healthy Food', 'Cafe', 'Asian', 'Desserts', 'Pizza']",800,4.2
Art of Delight                                     ,Residency Road,"['Ice Cream', 'Desserts', 'Beverages']",400,4.4
The Persian Terrace - Sheraton Grand Bangalore Hotel...                                     ,Sheraton Grand Bangalore Hotel at Brigade Gateway,"['Lebanese', 'Mediterranean', 'Afghan']","2,500",4.2
Kobe Sizzlers                                     ,Koramangala 5th Block,"['American', 'Continental', 'Fast Food', 'Steak']","1,000",4.1
Ulavacharu                                     ,Koramangala 5th Block,"['Andhra', 'North Indian', 'Chinese']",900,4.1
Maia - Eat | Bake | Mom                                     ,Bellandur,"['Continental', 'North Indian', 'Beverages']","1,200",4.2
Bloomsbury's Global Kitchen & Bakehouse                                     ,Whitefield,"['American', 'Cafe', 'Continental', 'French', 'Burger', 'Mexican', 'Desserts', 'Pizza']",900,4.5
Punjabi Nawabi                                     ,HSR,['North Indian'],500,4.1
Here & Now                                     ,HSR,"['Cafe', 'American', 'Burger', 'Beverages']",750,4.6
Enchanted Garden                                     ,Whitefield,"['North Indian', 'Continental', 'Italian', 'Cafe', 'Pizza', 'Finger Food']","1,400",4.3
Blue Tokai Coffee Roasters                                     ,Koramangala 8th Block,['Cafe'],750,4.1
McDonald's                                     ,Indiranagar,"['Burger', 'Fast Food']",500,3.9
Brooks 37                                     ,Brookefield,"['North Indian', 'Continental', 'Asian', 'Pizza']","1,000",4.1
Bahar Cafe                                     ,Marathahalli,"['Andhra', 'Biryani', 'Chinese', 'Hyderabadi', 'North Indian', 'South Indian']",750,4
Sigree Global Grill                                     ,Kalyan Nagar,"['North Indian', 'BBQ']","1,400",4.4
Sunny's                                     ,Lavelle Road,"['European', 'Italian', 'Seafood', 'Continental']","2,100",4.1
Dive                                     ,Marathahalli,"['Continental', 'Finger Food']","1,300",4.3
Oota Bangalore                                     ,Windmills Craftworks,['South Indian'],"1,700",4.6
The Hidden Home                                     ,Sarjapur Road,"['Asian', 'Chinese', 'Continental', 'North Indian', 'South Indian']","1,300",4.2
Wok Paper Scissors                                     ,Koramangala 5th Block,"['Asian', 'Malaysian', 'Chinese', 'Thai', 'Momos']",550,4.3
Chavadi                                     ,Bannerghatta Road,"['Continental', 'North Indian', 'Pizza', 'Italian']","1,200",4.4
Bottle Breacher                                     ,JP Nagar,"['Italian', 'Continental']","1,200",4.2
Float Brewery                                     ,Kalyan Nagar,"['Bar Food', 'European', 'Mediterranean']","1,800",4.2
Toscano                                     ,"Forum Mall, Koramangala","['Italian', 'Salad']","1,500",4.5
Arogya Ahaara                                     ,HSR,['South Indian'],100,4.7
Stoner                                     ,Koramangala 5th Block,"['Ice Cream', 'Cafe', 'Pizza', 'Burger', 'Desserts', 'Beverages']",500,4.4
Brew Meister                                     ,Jayanagar,"['North Indian', 'Continental', 'Finger Food', 'American', 'Asian']","1,500",4.1
Bricklane                                     ,"Escape Hotel & Spa, Indiranagar","['Italian', 'Mediterranean', 'Pizza']","1,500",4.2
Nandhana Palace                                     ,Kammanahalli,"['Andhra', 'Biryani', 'North Indian', 'Chinese']",800,4.2
Pin Me Down                                     ,BTM,"['Continental', 'Mexican', 'Chinese', 'North Indian']",800,4.5
Maziga                                     ,"VR Bengaluru, Whitefield",['Modern Indian'],"1,500",4.7
Portland Steakhouse & Cafe                                     ,MG Road,"['Steak', 'Italian', 'Continental', 'American', 'Burger', 'BBQ', 'Salad']","1,500",4.3
The Punjabi Rasoi                                     ,Indiranagar,['North Indian'],800,4.1
Sorse                                     ,Whitefield,"['Bengali', 'Seafood']",750,4.1
Harry's Bar + Cafe                                     ,Koramangala 7th Block,"['Asian', 'American', 'Mexican']","1,400",4.2
Hunger Camp                                     ,JP Nagar,"['North Indian', 'South Indian', 'Chinese', 'Seafood']","1,300",4.5
Chinita Real Mexican Food                                     ,Indiranagar,['Mexican'],"1,200",4.4
Angrezi - Bollywood Bar & Kitchen                                     ,Church Street,"['North Indian', 'Chinese', 'Fast Food', 'Finger Food']","1,200",                                         NEW                                     
Ranganna Military Hotel                                     ,Jayanagar,"['South Indian', 'Biryani']",350,4.2
Cable Car                                     ,Jayanagar,"['North Indian', 'Italian']","1,000",4.3
Mini Punjabi Dhaba                                     ,Banashankari,['North Indian'],350,4.2
Tandoori Junction                                     ,Marathahalli,"['North Indian', 'Chinese', 'Biryani']",400,3.9
Cakewala                                     ,HSR,"['Bakery', 'Desserts']",500,4.3
Bathinda Junction                                     ,HSR,"['North Indian', 'Mughlai']",600,4
1441 Pizzeria                                     ,JP Nagar,"['Pizza', 'Salad']",800,4.1
Spice Terrace - JW Marriott                                     ,"JW Marriott Bengaluru, Lavelle Road","['North Indian', 'Seafood']","3,000",4.3
Tree Tops Bar & Kitchen                                     ,"Hotel Southern Star, Lavelle Road","['North Indian', 'Chinese', 'Continental', 'Italian']","1,000",4.4
The Only Place                                     ,Church Street,"['Italian', 'American', 'Steak', 'Continental', 'BBQ', 'Salad']","1,000",4.3
Sriracha                                     ,UB City,"['Thai', 'Chinese', 'Indonesian', 'Asian', 'Momos']","1,500",4.3
Whattay Kitchen and Brew                                     ,Kanakapura Road,"['Finger Food', 'South Indian', 'Pizza', 'Continental', 'Desserts']","1,200",                                         NEW                                     
The Smoke Co.                                     ,Koramangala 6th Block,"['American', 'European']","2,500",4.3
Chai Point                                     ,MG Road,"['Fast Food', 'Beverages']",250,3.9
Rasovara                                     ,UB City,"['Rajasthani', 'North Indian']","1,400",4.3
Millers 46                                     ,Vasanth Nagar,"['American', 'Continental', 'Steak']","1,100",4.4
Dice N Dine                                     ,Koramangala 5th Block,"['Continental', 'Cafe', 'Italian', 'Fast Food', 'Steak']",900,4.3
Veena Stores                                     ,Malleshwaram,['South Indian'],150,4.5
Once Upon a Rooftop                                     ,Jayanagar,"['Pizza', 'Italian', 'Chinese', 'Thai']","1,000",4.3
Hari Super Sandwich                                     ,Jayanagar,"['Fast Food', 'Street Food']",200,4.4
Hyderabad Chefs                                     ,Whitefield,"['Hyderabadi', 'Andhra', 'North Indian', 'Chinese', 'South Indian']",800,4
The Vape                                     ,HSR,"['Asian', 'Beverages']",800,4
China Pearl                                     ,Koramangala 6th Block,['Chinese'],"1,100",4.3
Hungry Hippie                                     ,Koramangala 5th Block,"['Cafe', 'Continental', 'Italian', 'Burger']",800,4.3
Biere Societee                                     ,Whitefield,"['Asian', 'Continental', 'European']","1,500",4.2
Output Bengaluru                                     ,"Soul Space Arena Mall, Marathahalli","['North Indian', 'Continental']","1,000",4.5
The Barn - Bar & Kitchen                                     ,"Garuda Mall, Magrath Road","['American', 'North Indian', 'Chinese']","1,500",4.2
HOMMS                                     ,Marathahalli,"['Momos', 'Chinese', 'Fast Food']",300,4.5
Cream Stone                                     ,Marathahalli,"['Desserts', 'Ice Cream', 'Beverages']",500,4.1
Phulke Ghar Ke                                     ,Bellandur,"['North Indian', 'Chinese']",300,4
The Watering Hole                                     ,Rajarajeshwari Nagar,"['Chinese', 'Continental', 'North Indian', 'Seafood']","1,200",4
Rara Avis                                     ,Sahakara Nagar,"['Kerala', 'North Indian', 'South Indian', 'Chinese']","1,000",4.3
BLOW                                     ,Church Street,"['Cafe', 'Continental', 'American', 'Burger']",750,4.3
Cheers Pub Bar & Restro                                     ,Koramangala 4th Block,"['Continental', 'Finger Food', 'Pizza', 'North Indian', 'Bar Food']","1,100",4.2
BANGALORE BOX                                     ,BTM,"['Asian', 'Continental', 'Finger Food']","1,500",4.2
Queens                                     ,Electronic City,"['North Indian', 'Continental', 'British']","1,400",4.3
3 Monkeys Brewpub                                     ,"Gopalan Signature Mall, Old Madras Road","['Continental', 'North Indian', 'Chinese', 'Italian']","2,000",4.3
Koshy's                                     ,St. Marks Road,"['South Indian', 'North Indian', 'Chinese', 'Beverages']",700,3.8
Wolf'ish                                     ,Church Street,"['Cafe', 'American', 'Italian', 'Pizza', 'Burger']",700,4.2
Shizusan Shophouse & Bar                                     ,Whitefield,"['Asian', 'Japanese', 'Vietnamese', 'Korean', 'Chinese', 'Thai']","1,800",4.4
Eat Street                                     ,Koramangala 6th Block,"['North Indian', 'Chinese', 'Italian', 'Street Food', 'Desserts']",600,4.2
Thalassery Restaurant                                     ,Bellandur,"['Seafood', 'Biryani', 'South Indian', 'North Indian', 'Chinese', 'Arabian', 'Kebab', 'Kerala']",600,3.6
The Whitefield Arms Pub & Microbrewery                                     ,"Waverly, Whitefield","['British', 'Continental', 'BBQ']","1,600",4.2
Via Milano                                     ,Sarjapur Road,"['Salad', 'Italian', 'Desserts', 'Pizza']","1,500",4.6
Feast - Sheraton Grand Bangalore Hotel at Brigade...                                     ,Sheraton Grand Bangalore Hotel at Brigade Gateway,"['North Indian', 'Continental']","2,000",4.3
Hanoi - Vietnamese Cuisine                                     ,Koramangala 4th Block,['Vietnamese'],"1,000",4.3
