rest_name,locality,cost_for_two,rating,votes,cuisines
The Biryani Story,BTM,600,4.3,75,"['Biryani', 'North Indian', 'Chinese', 'Mughlai']"
Cafe Max,Indiranagar,"1,300",4.3,1668,"['Cafe', 'German', 'Italian']"
Hotel Aditya,Rajajinagar,300,4.3,340,"['South Indian', 'Biryani']"
SGS Non Veg - Gundu Pulav,City Market,400,4.3,186,"['Biryani', 'Fast Food']"
Memories of China - Taj MG Road Bengaluru,"Vivanta By Taj, MG Road","3,000",4.3,459,"['Chinese', 'Momos']"
Coffee Mechanics,HBR Layout,700,4.3,195,"['Cafe', 'Bakery', 'French', 'Jewish', 'Sandwich', 'Vegan', 'Coffee']"
Fabcafe,MG Road,800,4.3,69,"['Cafe', 'Healthy Food']"
Cold Stone Creamery,Whitefield,400,4.3,518,"['Ice Cream', 'Desserts']"
Pulimunchi,Indiranagar,"1,000",4.3,705,"['Mangalorean', 'Seafood']"
Capri Gastrobar,St. Marks Road,"1,200",4.3,304,"['Mediterranean', 'Italian', 'Asian']"
The Green Path - Forgotten Food,Malleshwaram,"1,100",4.3,1152,"['North Indian', 'South Indian']"
Pazzo,HSR,700,4.3,402,"['American', 'Modern Indian', 'Italian', 'South Indian']"
InAzia - Sheraton Grand Bengaluru Whitefield Hotel &...,"Sheraton Grand Bengaluru, Whitefield","2,500",4.3,248,"['Asian', 'Chinese']"
Hotel Nalapaka,Rajajinagar,400,4.3,700,['South Indian']
