rest_index,rest_name,locality,cost_for_two,rating,votes,score,cuisines
35,Bamboo Hut,Nagarbhavi,700,4.6,1351,4.573,"['Chinese', 'Cafe', 'Fast Food']"
40,Toast & Tonic,Richmond Road,"1,500",4.6,1103,4.567,"['European', 'Asian']"
28,Lot Like Crepes,Koramangala 7th Block,550,4.6,1030,4.565,"['Desserts', 'Continental']"
18,Rim Naam - The Oberoi,"The Oberoi, MG Road","3,000",4.6,989,4.563,['Thai']
22,Natural Ice Cream,Indiranagar,200,4.6,962,4.562,"['Ice Cream', 'Beverages']"
26,Baar Union,HSR,850,4.6,800,4.555,"['Continental', 'Finger Food', 'Asian', 'Chinese']"
27,Bologna,Indiranagar,"1,000",4.6,805,4.555,['Italian']
51,Levitate Brewery and Kitchen,JP Nagar,"1,500",4.6,695,4.549,"['Finger Food', 'North Indian', 'Continental']"
44,Sea Lions BBQ & Grills,Jayanagar,"1,100",4.6,591,4.54,"['North Indian', 'Chinese', 'Mughlai', 'Mexican', 'BBQ']"
34,Saffron - Radisson Blu,"Radisson Blu, Marathahalli","2,500",4.6,507,4.531,"['North Indian', 'Mughlai', 'Lucknowi']"
39,Oota Bangalore,Windmills Craftworks,"1,700",4.6,487,4.528,['South Indian']
31,Bonum cibum,HSR,"1,200",4.6,401,4.514,"['Lebanese', 'Turkish']"
37,Zamindar,Kalyan Nagar,800,4.6,382,4.51,"['Biryani', 'Mughlai', 'Andhra']"
17,Kurtoskalacs,Koramangala 5th Block,400,4.6,345,4.502,"['Desserts', 'Fast Food']"
115,Arbor Brewing Company,Brigade Road,"2,000",4.5,8455,4.496,"['American', 'Continental']"
108,Prost Brew Pub,Koramangala 4th Block,"1,800",4.5,7991,4.496,"['American', 'Continental', 'North Indian', 'Salad']"
61,The Hole in the Wall Cafe,Koramangala 4th Block,600,4.5,7189,4.495,"['Cafe', 'American', 'Burger']"
105,Hard Rock Cafe,St. Marks Road,"2,500",4.5,5318,4.494,"['American', 'BBQ']"
88,Brew and Barbeque - A Microbrewery Pub,"Soul Space Arena Mall, Marathahalli","1,400",4.5,6064,4.494,"['Continental', 'North Indian', 'BBQ', 'Steak']"
99,Meghana Foods,Jayanagar,600,4.5,4556,4.493,"['Biryani', 'Andhra', 'North Indian', 'Seafood']"
97,Dyu Art Cafe,Koramangala 5th Block,800,4.5,3892,4.491,"['Cafe', 'Italian', 'Fast Food']"
65,Sultans of Spice,"BluPetal Hotel, Koramangala","1,300",4.5,3497,4.49,"['North Indian', 'Mughlai', 'Salad']"
91,Buff Buffet Buff,"BluPetal Hotel, Koramangala","1,500",4.5,3229,4.49,"['North Indian', 'Chinese', 'Continental', 'Thai', 'Salad']"
20,Maziga,"VR Bengaluru, Whitefield","1,500",4.6,304,4.49,['Modern Indian']
98,1131 Bar + Kitchen,Indiranagar,"1,500",4.5,2948,4.489,"['Continental', 'Asian', 'Italian', 'North Indian']"
120,Mavalli Tiffin Room (MTR),Basavanagudi,250,4.5,2939,4.489,['South Indian']
62,The Pallet,Whitefield,"1,600",4.5,2869,4.488,"['Continental', 'Mediterranean', 'Italian', 'North Indian', 'Finger Food', 'Asian', 'Momos']"
81,Hakuna Matata,JP Nagar,"1,200",4.5,2869,4.488,"['North Indian', 'Asian', 'Seafood', 'Chinese']"
72,The Reservoire,Koramangala 5th Block,"1,300",4.5,2690,4.488,"['Continental', 'North Indian', 'Chinese', 'American']"
89,Stoner,Koramangala 5th Block,500,4.5,2671,4.487,"['Ice Cream', 'Cafe', 'Pizza', 'Burger', 'Desserts', 'Beverages']"
85,Veena Stores,Malleshwaram,150,4.5,2431,4.486,['South Indian']
121,Olive Bar And Kitchen,Richmond Road,"1,800",4.5,2234,4.485,"['Mediterranean', 'European', 'Salad']"
125,Simon Says Brew Works,Koramangala 5th Block,"1,400",4.5,2234,4.485,"['Continental', 'American', 'Italian', 'Modern Indian', 'Pizza', 'Burger']"
29,Mugful Of Stories,Kalyan Nagar,300,4.6,288,4.484,"['Desserts', 'Bakery']"
95,Cloud Cafe,Nagarbhavi,700,4.5,2020,4.484,"['Cafe', 'Continental', 'American', 'Italian', 'Beverages']"
