rest_index,rest_name,locality,cost_for_two,rating,votes,cuisines
7196,Hunger Park,Kaggadasapura,500,3.1,10,"['Biryani', 'Chinese', 'Fast Food', 'North Indian']"
7197,Fine Day,Sarjapur Road,500,3.1,5,"['Biryani', 'Andhra', 'North Indian']"
7198,VMS Star Biriyani,Electronic City,350,3.1,5,"['Biryani', 'South Indian']"
7199,The Hunger Bowl,Rajarajeshwari Nagar,350,3.1,7,['North Indian']
7200,Kamat Kala Ruchi,Sadashiv Nagar,100,3.1,8,['South Indian']
7201,Desi Bytes,Old Airport Road,450,3.1,97,"['North Indian', 'Chinese']"
7202,Hotel Swathi,KR Puram,400,3.1,11,['South Indian']
7203,Dawat Midnight Express,Marathahalli,450,3.1,30,"['North Indian', 'Chinese']"
7204,Bhukaa's Punjabi Rasoi,Hebbal,500,3.1,9,"['North Indian', 'Chinese']"
7205,Sri Krishna Darshini,Basavanagudi,200,3.1,4,"['South Indian', 'North Indian', 'Chinese']"
7206,Butterly Cafe,Whitefield,550,3.1,14,['Cafe']
7207,Oh My Chaat,Frazer Town,300,3.1,19,['Street Food']
7208,Delhi Delight Food Cafe,Thippasandra,200,3.1,28,"['Chinese', 'North Indian']"
7209,Babu Moshai,Bannerghatta Road,500,3.1,46,"['Fast Food', 'Bengali']"
7210,Bindu Garden Bar & Restaurant,HSR,550,3.1,36,"['North Indian', 'Chinese']"
7211,The Grilled & Fried,Whitefield,300,3.1,133,['Fast Food']
7212,SV Restaurant,Whitefield,550,3.1,8,"['Andhra', 'North Indian', 'Chinese', 'Biryani']"
7213,Tanuja Home Food,Whitefield,300,3.1,18,['North Indian']
7214,Donne Biriyani House,Sarjapur Road,300,3.1,130,['Biryani']
7215,Donne Biriyani Mane,Kumaraswamy Layout,300,3.1,73,"['Biryani', 'Kebab']"
7216,Go Gharelu,Marathahalli,250,3.1,67,"['North Indian', 'Biryani']"
7217,New Shanthi Sagar,Sahakara Nagar,400,3.1,162,"['South Indian', 'North Indian', 'Chinese']"
7218,Sri Lakshmi Dhaba,Bommanahalli,250,3.1,18,"['North Indian', 'Chinese']"
7219,Sindhuri Restaurant,Marathahalli,600,3.1,19,"['Chinese', 'North Indian', 'Biryani']"
7220,Malabar Restaurant,Mysore Road,400,3.1,7,"['Kerala', 'Chinese', 'North Indian']"
7221,Hotel Smile,Jayanagar,550,3.1,6,"['North Indian', 'Chinese']"
7222,Food Time Now,Rammurthy Nagar,500,3.1,10,"['North Indian', 'Mughlai', 'Biryani']"
7223,Godavari Delights,Electronic City,600,3.1,12,"['Andhra', 'Chinese', 'Biryani']"
7224,Biryani Foodies,Koramangala 5th Block,500,3.1,7,"['Biryani', 'Mughlai']"
7225,Take It!,Marathahalli,450,3.1,38,"['Continental', 'Chinese', 'Fast Food']"
7226,Vandani Restaurant,Kengeri,650,3.1,10,"['South Indian', 'Chinese', 'North Indian']"
7227,Shahi Darbar,Ejipura,300,3.1,5,"['Chinese', 'North Indian']"
7228,Tasty Box,Sanjay Nagar,500,3.1,31,"['North Indian', 'Chinese', 'Seafood']"
7229,Queens Food Corner,Cunningham Road,200,3.1,11,"['Kerala', 'South Indian']"
7230,ToothSome,Kaggadasapura,400,3.1,4,"['North Indian', 'Bengali', 'Chinese']"
7231,Cheesecake Alley,HSR,400,3.1,8,"['Bakery', 'Desserts']"
7232,Delight food,Marathahalli,250,3.1,12,"['North Indian', 'South Indian']"
7233,Chinese Chaska,Whitefield,550,3.1,127,"['Chinese', 'North Indian', 'Biryani']"
7234,Biriyani Bungalow,HSR,600,3.1,4,"['Biryani', 'North Indian']"
7235,Dream's Kitchen,Bannerghatta Road,700,3.1,7,"['North Indian', 'Andhra', 'Chinese']"
7236,Bengalooru Tiffany's,JP Nagar,400,3.1,39,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
7237,Magic Packs,Electronic City,300,3.1,22,"['North Indian', 'South Indian']"
7238,House Of Wholewheat,Koramangala 1st Block,200,3.1,6,"['Bakery', 'Desserts']"
7239,Tanna's Kitchen,Kumaraswamy Layout,250,3.1,11,"['Chinese', 'Pizza']"
7240,Tasty Bytes,Kumaraswamy Layout,300,3.1,245,"['North Indian', 'Chinese', 'Momos', 'Rolls']"
7241,Pizza Stop,New BEL Road,600,3.1,75,"['Pizza', 'Italian']"
7242,The Spicy Kitchen,Thippasandra,300,3.1,17,"['Arabian', 'Rolls']"
7243,Shree Sagar Veg Fast Food,Majestic,150,3.1,4,['South Indian']
7244,Kabab Magic,Nagarbhavi,300,3.1,6,"['South Indian', 'North Indian', 'Chinese']"
7245,Spicy Hut,KR Puram,350,3.1,40,"['North Indian', 'Chinese']"
7246,New Hotel Prashanth,Electronic City,300,3.1,8,"['Fast Food', 'Andhra']"
